CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT    MEM %               NET I/O             BLOCK I/O           PIDS
cb3c1beee470        attempt1            0.08%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.08%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.08%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.08%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.47%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.10%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.11%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.31%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.10%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.10%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.10%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.08%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.33%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.30%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.8MB      0B / 0B             3
cb3c1beee470        attempt1            0.09%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.81MB     0B / 0B             3
cb3c1beee470        attempt1            0.10%               9.32MiB / 926.1MiB   1.01%               2.85MB / 3.81MB     0B / 0B             3
