  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.89 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.89 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.89 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.90 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.90 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.90 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.91 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.91 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.91 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.91 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.92 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.93 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.93 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.93 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.93 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.93 python
25187 pi        20   0   43272  16572   8116 S   1.0   1.9   0:17.95 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.95 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.95 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.95 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.95 python
25187 pi        20   0   43272  16572   8116 D   0.5   1.9   0:17.96 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.97 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.97 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.97 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.98 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.98 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:17.99 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.99 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:17.99 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.00 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.00 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.01 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.01 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.02 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.02 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.02 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.03 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.04 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.04 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.04 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.04 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.05 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.06 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.06 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.06 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.06 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.07 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.08 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.08 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.08 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.08 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.09 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.09 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.10 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.10 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.10 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.11 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.11 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.12 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.12 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.12 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.13 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.13 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.13 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.13 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.13 python
25187 pi        20   0   43272  16572   8116 S   1.0   1.9   0:18.15 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.15 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.15 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.15 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.15 python
25187 pi        20   0   43272  16572   8116 S   1.0   1.9   0:18.17 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.17 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.17 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.17 python
25187 pi        20   0   43272  16572   8116 S   0.0   1.9   0:18.17 python
25187 pi        20   0   43272  16572   8116 S   0.5   1.9   0:18.18 python
